NOMBRE_ENCUESTA,PREGUNTA,RESPUESTAS_POSIBLES,RESPUESTA_CORRECTA,PAIS,RESPUESTA_PAIS
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Syria                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Tanzania                    ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Tailandia                   ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Togo                        ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Tongo                       ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Trinidad y Tobago           ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Tunisia                     ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Turquia                     ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Tuvalu                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Rusia                       ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Rusia                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Reino Unido                 ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Estados Unidos              ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Alto Volta                  ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Uruguay                     ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Vanuatu                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Venezuela                   ,c
